                   DrugName1                   DrugName2
1  Sodium Phosphate, Dibasic Sodium Phosphate, Monobasic
2         Aluminum Hydroxide         Magnesium Hydroxide
3               Piperacillin                  tazobactam
4             sodium citrate                 Citric Acid
5                Simethicone          Aluminum Hydroxide
6           Sulfamethoxazole                Trimethoprim
7                 butalbital                    Caffeine
8               Cupric oxide               Iron Carbonyl
9           alpha Tocopherol               Iron Carbonyl
10                  Thiamine                  Riboflavin
11              dexpanthenol                  Riboflavin
12               Niacinamide                  Riboflavin
13          alpha Tocopherol                Cupric oxide
14               Amphetamine           Dextroamphetamine
15                  Levodopa                   Carbidopa
16               Niacinamide                    Thiamine
17                   Lactate            Calcium Chloride
18              dexpanthenol                  Vitamin B6
19      tenofovir disoproxil               emtricitabine
20               Niacinamide                dexpanthenol
